,"(0,0)","(1,1)","(1,2)","(1,3)","(1,4)","(2,1)","(2,2)","(2,3)","(2,4)","(3,1)","(3,2)","(3,3)","(3,4)","(4,1)","(4,2)","(4,3)","(4,4)","(5,1)","(5,2)","(5,3)","(5,4)",Question_ID,correctness,end,player_ID,player_experience,start,total,x1,x2,x3,x4,y1,y2,y3,y4
3,0.283,0.0,0.833,0.083,0.0,0.0,0.25,0.583,0.0,0.15,1.633,0.583,0.017,0.0,0.0,0.35,0.0,0.283,0.167,0.3,0.0,6,0,107.03466999999999,3,0,101.61255,5.515,0.916,0.833,2.383,0.35,0.433,2.883,1.899,0.017
4,0.433,0.0,0.167,0.75,0.017,0.0,0.05,0.866,0.217,0.0,0.233,2.016,0.1,0.0,0.033,0.466,0.0,0.067,1.266,0.1,0.0,6,0,113.70483,3,0,107.03466999999999,6.781,0.934,1.133,2.349,0.499,0.067,1.749,4.198,0.334
5,1.133,0.0,0.0,0.0,0.0,0.483,0.6,0.0,0.183,0.616,0.2,0.766,0.0,0.4,0.05,0.017,0.0,0.333,0.133,0.0,0.0,6,0,118.53516,3,0,113.70483,4.914,0.0,1.266,1.582,0.467,1.832,0.983,0.783,0.183
6,0.417,0.333,0.267,0.0,0.0,0.017,0.466,0.0,0.0,0.017,0.033,0.0,0.0,0.0,0.017,0.0,0.0,0.067,0.117,0.0,0.0,6,0,120.24316,3,0,118.53516,1.751,0.6,0.483,0.05,0.017,0.434,0.9,0.0,0.0
7,0.067,0.0,0.0,0.0,0.0,0.15,0.966,0.683,0.0,0.0,0.1,0.483,0.0,0.0,0.05,0.2,0.0,0.0,0.333,0.0,0.0,6,0,123.21704,3,0,120.24316,3.032,0.0,1.799,0.583,0.25,0.15,1.449,1.366,0.0
8,0.067,0.0,0.067,0.133,0.0,0.0,0.017,0.383,0.0,0.0,0.067,0.083,0.0,0.167,0.683,0.0,0.0,0.0,0.117,0.217,0.283,6,0,125.45288000000001,3,0,123.21704,2.284,0.2,0.4,0.15,0.85,0.167,0.951,0.816,0.283
9,0.433,0.0,0.0,0.6,0.25,0.0,0.0,3.082,1.299,0.217,1.366,2.616,0.0,0.0,0.017,1.383,0.033,0.45,0.55,0.4,0.033,6,0,137.98633,3,0,125.45288000000001,12.729,0.85,4.381,4.199,1.433,0.667,1.933,8.081,1.615
10,0.05,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.067,0.0,0.083,0.433,0.0,0.0,0.033,0.0,0.0,0.583,0.1,0.0,0.0,6,0,140.53173999999999,3,0,137.98633,2.599,0.5,0.817,0.516,0.033,0.583,0.216,1.683,0.067
11,0.05,0.0,0.0,0.017,0.483,0.0,0.0,0.466,0.017,0.0,0.017,0.0,0.283,0.0,0.0,0.017,0.0,0.0,0.0,0.267,0.267,6,0,142.3728,3,0,140.53173999999999,1.884,0.5,0.483,0.3,0.017,0.0,0.017,0.767,1.05
12,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.483,0.267,0.05,0.0,0.133,0.117,0.233,0.017,0.0,0.017,6,0,143.99951000000001,3,0,142.3728,1.667,0.0,0.0,0.983,0.3,0.283,0.25,0.616,0.401
0,0.167,0.0,0.0,0.0,0.0,0.616,2.049,0.55,0.0,0.533,0.65,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.1,0.0,7,1,156.12256000000002,3,0,150.93311,5.282,0.0,3.215,1.533,0.0,1.149,2.966,1.0,0.0
1,0.083,0.583,0.133,0.0,0.0,0.566,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.017,0.017,0.0,0.0,0.0,0.25,0.333,7,0,158.32617,3,0,156.12256000000002,2.249,0.716,0.816,0.0,0.051,1.166,0.4,0.267,0.333
2,0.15,0.0,0.0,0.0,0.0,0.0,0.983,0.0,0.0,0.35,0.766,0.3,0.0,0.0,0.033,0.167,0.0,0.0,0.383,0.0,0.0,7,0,161.39746,3,0,158.32617,3.132,0.0,0.983,1.416,0.2,0.35,2.165,0.467,0.0
3,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.333,0.0,0.0,0.583,0.217,0.0,0.0,0.0,0.017,0.067,0.483,7,0,163.13745,3,0,161.39746,1.783,0.0,0.0,0.383,0.8,0.633,0.567,0.067,0.483
4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.133,0.0,0.0,0.866,0.333,0.0,0.317,0.133,0.0,0.0,7,0,164.97754,3,0,163.13745,1.882,0.0,0.0,0.183,1.199,0.317,1.049,0.466,0.0
5,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.383,0.0,7,0,166.6875,3,0,164.97754,1.749,0.0,0.0,1.033,0.0,0.0,0.333,1.383,0.0
0,0.05,0.0,0.0,0.0,0.0,0.516,0.033,0.0,0.0,0.35,0.05,0.0,0.0,0.05,0.033,0.017,0.0,0.0,0.0,0.0,0.6,8,1,173.61963,3,0,171.95996,1.699,0.0,0.549,0.4,0.1,0.916,0.116,0.017,0.6
1,0.0,0.0,0.0,0.0,0.0,0.0,1.433,0.0,0.0,0.0,0.033,0.017,0.0,0.033,0.033,0.0,0.0,0.133,0.367,0.0,0.0,8,0,175.62646,3,0,173.61963,2.049,0.0,1.433,0.05,0.066,0.166,1.866,0.017,0.0
2,0.033,0.0,0.017,0.217,0.0,0.0,0.25,0.333,0.0,0.433,0.75,0.0,0.0,0.183,0.017,0.0,0.0,0.2,0.15,0.0,0.0,8,0,178.15381000000002,3,0,175.62646,2.583,0.234,0.583,1.183,0.2,0.816,1.184,0.55,0.0
3,0.167,0.0,0.183,0.0,0.0,0.217,0.666,0.0,0.0,0.033,0.183,0.0,0.0,0.0,0.017,0.0,0.0,0.117,0.317,0.0,0.0,8,0,180.0127,3,0,178.15381000000002,1.9,0.183,0.883,0.216,0.017,0.367,1.366,0.0,0.0
4,0.2,0.0,0.0,0.6,0.067,0.0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.35,0.0,8,0,181.5564,3,0,180.0127,1.584,0.667,0.317,0.0,0.05,0.0,0.05,1.267,0.067
5,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.866,0.05,0.0,0.0,0.05,0.0,0.0,0.3,0.35,0.0,8,0,183.16553000000002,3,0,181.5564,1.65,0.0,0.0,0.933,0.05,0.0,0.317,1.266,0.05
0,2.216,0.017,0.033,0.0,0.017,0.683,3.565,1.316,0.0,0.333,1.983,0.916,0.0,0.0,0.45,0.267,0.0,0.8,0.8,0.283,0.0,9,1,206.36328,3,0,192.89014,13.679,0.067,5.564,3.232,0.717,1.833,6.831,2.782,0.017
1,0.3,0.0,0.0,0.0,0.0,0.65,0.75,0.0,0.0,0.117,0.05,0.0,0.0,0.017,0.05,0.0,0.0,0.033,0.017,0.65,0.267,9,0,209.20581,3,0,206.36328,2.901,0.0,1.4,0.167,0.067,0.817,0.867,0.65,0.267
2,0.15,0.0,0.916,0.0,0.0,0.25,0.15,0.0,0.0,0.033,0.033,0.0,0.0,0.0,0.017,0.0,0.0,0.067,0.217,0.483,0.017,9,0,211.48901,3,0,209.20581,2.333,0.916,0.4,0.066,0.017,0.35,1.333,0.483,0.017
3,0.05,0.0,0.033,0.033,0.0,0.183,0.417,0.666,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.05,0.0,0.0,0.516,0.0,0.0,9,0,213.41137999999998,3,0,211.48901,1.965,0.066,1.266,0.0,0.067,0.183,0.983,0.749,0.0
4,0.1,0.0,1.399,0.733,0.0,0.0,0.083,1.233,0.083,0.0,0.067,0.167,0.0,0.0,0.033,0.317,0.083,0.333,0.217,0.3,0.0,9,0,218.46997000000002,3,0,213.41137999999998,5.148,2.132,1.399,0.234,0.433,0.333,1.799,2.75,0.166
5,0.067,0.0,0.0,0.0,0.25,0.0,0.133,0.367,0.35,0.0,0.1,0.067,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.25,0.233,9,0,220.26122999999998,3,0,218.46997000000002,1.834,0.25,0.85,0.167,0.017,0.0,0.25,0.684,0.833
6,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.433,0.0,0.0,0.117,0.383,0.0,0.0,0.0,0.017,0.0,0.0,0.283,0.017,9,0,221.74072,3,0,220.26122999999998,1.517,0.0,0.483,0.5,0.017,0.0,0.0,0.45,0.85
0,0.35,0.0,0.0,0.0,0.0,0.033,0.566,0.516,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.367,0.0,10,1,242.85228999999998,3,0,240.81322999999998,2.082,0.0,1.332,0.0,0.0,0.033,0.599,0.883,0.217
1,0.067,0.0,0.0,0.833,0.05,0.0,0.083,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.15,0.3,10,0,244.69312000000002,3,0,242.85228999999998,1.883,0.883,0.45,0.0,0.033,0.0,0.083,1.383,0.35
2,0.083,0.017,1.133,0.067,0.0,0.7,2.182,0.033,0.0,0.0,0.317,0.033,0.0,0.0,0.0,0.017,0.0,0.167,0.317,0.367,0.05,10,0,250.07983,3,0,244.69312000000002,5.483,1.217,2.915,0.35,0.017,0.884,3.949,0.517,0.05
3,0.2,0.017,0.916,0.0,0.0,0.05,0.083,0.0,0.0,0.017,0.017,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.083,0.55,0.033,10,0,252.01928999999998,3,0,250.07983,1.983,0.933,0.133,0.034,0.017,0.084,1.116,0.55,0.033
4,0.1,0.0,0.0,0.0,0.0,0.017,0.55,0.0,0.0,0.283,0.2,0.0,0.0,0.017,0.033,0.0,0.0,0.0,0.0,0.25,0.25,10,0,253.67896000000002,3,0,252.01928999999998,1.7,0.0,0.567,0.483,0.05,0.317,0.783,0.25,0.25
5,0.367,0.0,0.0,0.0,0.0,0.533,0.417,1.399,0.067,1.349,1.25,0.267,0.0,0.05,0.017,0.233,0.0,0.6,0.25,0.0,0.0,10,0,260.36572,3,0,253.67896000000002,6.799,0.0,2.416,2.866,0.3,2.532,1.934,1.899,0.067
6,0.367,0.0,0.0,0.0,0.033,0.0,0.0,0.466,0.117,0.05,1.0,1.216,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.367,10,0,263.92871,3,0,260.36572,3.633,0.033,0.583,2.266,0.017,0.05,1.0,1.699,0.517
7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.217,0.0,0.0,0.683,0.0,0.033,0.117,0.017,0.0,0.0,0.433,0.1,0.0,10,0,265.72144,3,0,263.92871,1.833,0.0,0.4,0.683,0.167,0.033,0.55,0.983,0.217
8,0.017,0.0,0.0,0.0,0.0,0.417,0.383,0.0,0.0,0.4,0.217,0.0,0.0,0.283,0.417,0.0,0.0,0.033,0.383,0.017,0.0,10,0,268.23364,3,0,265.72144,2.567,0.0,0.8,0.617,0.7,1.133,1.4,0.017,0.0
9,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.783,0.417,0.0,0.0,1.166,0.167,0.083,0.85,0.133,0.0,0.033,0.533,0.233,0.017,10,0,272.65259,3,0,268.23364,4.498,0.0,1.2,1.333,1.066,0.116,1.383,2.315,0.601
10,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.35,0.017,0.317,0.017,0.0,0.0,10,0,274.16626,3,0,272.65259,1.551,0.0,0.033,0.65,0.367,0.317,0.017,1.033,0.017
11,1.216,0.0,0.0,0.0,0.0,0.233,1.016,0.616,0.466,0.033,0.483,1.866,0.533,0.133,0.367,0.833,0.033,0.117,0.35,0.0,0.0,10,0,282.33057,3,0,274.16626,8.295,0.0,2.331,2.915,1.366,0.516,2.216,3.315,1.032
12,0.033,0.0,0.0,0.0,0.0,0.0,0.083,0.75,0.15,0.0,0.033,0.217,0.017,0.0,0.083,0.0,0.0,0.0,0.117,0.183,0.0,10,0,283.95727999999997,3,0,282.33057,1.666,0.0,0.983,0.267,0.083,0.0,0.316,1.15,0.167
13,0.367,0.0,0.033,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.367,0.067,10,0,285.51758,3,0,283.95727999999997,1.601,0.45,0.0,0.017,0.333,0.0,0.05,1.117,0.067
14,0.067,0.0,0.3,0.05,0.0,0.05,1.599,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.25,0.0,0.433,0.017,0.283,0.0,0.05,10,0,288.90283,3,0,285.51758,3.449,0.35,1.649,0.35,0.683,0.067,2.782,0.05,0.483
15,0.317,0.1,0.75,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.25,0.0,10,0,290.36499,3,0,288.90283,1.501,0.85,0.067,0.0,0.017,0.1,0.834,0.25,0.0
16,0.067,0.0,0.117,0.0,0.0,0.017,1.183,0.05,0.0,0.0,0.616,0.033,0.0,0.0,0.017,0.017,0.0,0.05,0.267,0.25,0.25,10,0,293.23828,3,0,290.36499,2.934,0.117,1.25,0.649,0.034,0.067,2.2,0.35,0.25
17,1.349,0.233,0.017,0.0,0.0,0.866,1.166,1.766,0.5,2.732,1.666,0.0,0.0,0.9,0.367,0.0,0.0,0.683,0.117,0.217,0.067,10,0,305.69116,3,0,293.23828,12.646,0.25,4.298,4.398,1.267,5.414,3.333,1.983,0.567
18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.5,0.233,0.0,0.7,0.0,0.0,0.0,0.183,0.233,0.0,0.0,10,0,308.05811,3,0,305.69116,2.416,0.0,0.0,1.1,0.7,1.25,0.733,0.233,0.0
19,0.3,0.0,0.0,0.0,0.033,0.0,0.283,0.2,0.583,0.0,0.167,0.616,1.266,2.716,0.133,0.0,0.0,0.0,0.716,0.2,0.0,10,0,315.15405,3,0,308.05811,7.213,0.033,1.066,2.049,2.849,2.716,1.299,1.016,1.882
20,0.333,0.0,0.0,0.2,0.117,0.0,0.1,0.95,0.1,0.4,0.383,0.833,0.0,0.0,0.2,0.033,0.0,0.0,0.333,0.516,0.167,10,0,319.7395,3,0,315.15405,4.665,0.317,1.15,1.616,0.233,0.4,1.016,2.532,0.384
21,0.167,0.0,0.0,0.2,0.083,0.0,0.0,0.466,0.466,0.05,0.966,1.883,0.267,0.017,0.466,0.017,0.0,0.0,0.0,0.15,0.283,10,0,325.12842,3,0,319.7395,5.481,0.283,0.932,3.166,0.5,0.067,1.432,2.716,1.099
22,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,1.133,0.033,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,10,0,327.01685,3,0,325.12842,1.933,0.0,0.0,1.183,0.0,0.017,0.167,1.133,0.033
23,0.716,0.0,0.0,0.233,0.0,0.483,0.0,2.116,0.217,2.949,2.466,5.848,0.033,0.966,1.733,1.849,0.0,0.333,1.133,0.017,0.0,10,0,347.80127000000005,3,0,327.01685,21.092,0.233,2.816,11.296,4.548,4.731,5.332,10.063,0.25
24,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.017,0.0,0.0,1.25,0.05,0.0,0.0,0.466,0.033,0.0,0.0,10,0,349.93408,3,0,347.80127000000005,2.183,0.0,0.0,0.167,1.3,1.866,0.1,0.0,0.0
25,0.017,0.0,0.0,0.017,0.0,0.0,0.0,0.35,0.017,0.95,0.8,1.083,0.0,0.25,0.0,0.033,0.0,0.233,0.0,0.2,0.0,10,0,353.81273999999996,3,0,349.93408,3.95,0.017,0.367,2.833,0.283,1.433,0.8,1.683,0.017
26,0.133,0.0,0.0,0.033,0.017,0.0,0.233,0.2,0.333,0.05,1.233,0.733,0.0,0.167,1.349,0.25,0.0,0.017,0.3,0.0,0.0,10,0,358.7749,3,0,353.81273999999996,5.048,0.05,0.766,2.016,1.766,0.234,3.115,1.216,0.35
27,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.383,0.0,0.0,0.183,0.083,0.033,0.267,0.933,0.017,0.0,0.0,0.383,0.0,10,0,361.23926,3,0,358.7749,2.515,0.0,0.583,0.266,1.25,0.033,0.267,1.699,0.483
28,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.0,0.133,0.233,0.0,0.0,10,0,362.61914,3,0,361.23926,1.416,0.0,0.0,0.0,0.983,0.133,0.233,0.983,0.0
0,0.067,0.0,0.3,0.0,0.0,0.05,0.4,0.0,0.0,0.15,0.3,0.0,0.0,0.4,0.233,0.0,0.0,0.283,0.25,0.0,0.0,11,1,377.55151,3,0,375.17065,2.433,0.3,0.45,0.45,0.633,0.883,1.483,0.0,0.0
1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.933,0.0,0.0,0.0,0.2,0.0,0.0,0.466,0.1,0.0,0.0,11,0,379.80176,3,0,377.55151,2.299,0.0,0.0,1.433,0.2,0.966,1.233,0.0,0.0
2,0.133,0.0,0.0,0.0,0.0,0.55,0.5,0.3,0.017,0.983,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.383,0.05,11,0,383.05737,3,0,379.80176,3.316,0.0,1.367,1.266,0.0,1.533,0.9,0.683,0.067
3,0.067,0.167,0.6,0.0,0.0,0.317,0.15,0.0,0.0,0.017,0.033,0.0,0.0,0.017,0.217,0.0,0.0,0.0,0.383,0.067,0.0,11,0,385.04395,3,0,383.05737,2.035,0.767,0.467,0.05,0.234,0.518,1.383,0.067,0.0
4,0.383,0.0,0.017,0.0,0.0,0.0,0.616,0.167,0.0,0.0,0.0,0.0,0.0,0.017,0.133,0.0,0.0,0.083,0.233,0.0,0.0,11,0,386.65576,3,0,385.04395,1.649,0.017,0.783,0.0,0.15,0.1,0.999,0.167,0.0
5,0.133,0.0,0.716,0.75,0.05,0.033,0.2,1.266,0.0,0.05,0.9,2.582,0.0,0.816,0.883,0.017,0.0,0.0,0.283,0.583,0.0,11,0,395.77344,3,0,386.65576,9.262,1.516,1.499,3.532,1.716,0.899,2.982,5.198,0.05
6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.1,0.0,0.0,0.067,0.0,0.0,0.017,0.533,0.0,0.133,0.217,0.333,0.067,11,0,397.61107999999996,3,0,395.77344,1.884,0.0,0.417,0.067,0.55,0.133,0.234,1.25,0.167
7,0.067,0.0,0.35,0.6,0.083,0.0,0.017,0.25,0.267,0.0,0.0,0.4,0.0,0.017,0.0,0.033,0.0,0.0,0.117,0.3,0.033,11,0,400.09351000000004,3,0,397.61107999999996,2.534,1.033,0.534,0.4,0.05,0.017,0.484,1.583,0.383
8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.067,0.05,0.367,1.583,0.233,0.033,0.033,0.0,0.0,0.017,0.217,0.117,0.0,11,0,403.14771,3,0,400.09351000000004,3.117,0.0,0.417,2.233,0.066,0.1,0.617,2.05,0.3
9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.3,0.0,0.317,0.083,0.0,0.0,11,0,404.3811,3,0,403.14771,1.266,0.0,0.0,0.0,0.816,0.317,0.599,0.3,0.0
0,0.017,0.0,0.0,0.0,0.0,1.283,0.05,0.0,0.0,0.3,0.017,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.183,0.017,0.483,12,1,416.01122999999995,3,0,413.64746,2.417,0.0,1.333,0.317,0.067,1.583,0.317,0.017,0.483
1,0.05,0.0,0.0,0.0,0.0,0.35,0.8,0.0,0.0,0.05,0.0,0.0,0.0,0.033,0.0,0.017,0.0,0.5,0.083,0.0,0.0,12,0,417.85107,3,0,416.01122999999995,1.883,0.0,1.15,0.05,0.05,0.933,0.883,0.017,0.0
2,0.466,0.633,0.433,0.616,0.05,1.383,2.749,2.066,0.666,0.8,0.866,0.2,0.0,0.017,0.3,0.067,0.0,0.0,0.0,0.683,0.0,12,0,429.66333,3,0,417.85107,11.995,1.732,6.864,1.866,0.384,2.833,4.348,3.632,0.716
3,0.017,0.0,0.0,0.0,0.0,0.633,0.0,0.0,0.0,0.716,0.033,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.55,0.0,0.0,12,0,431.58569000000006,3,0,429.66333,1.966,0.0,0.633,0.749,0.017,1.366,0.583,0.0,0.0
4,0.133,0.333,0.45,0.0,0.0,0.516,0.0,0.0,0.0,0.317,0.033,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.716,0.05,0.0,12,0,434.57568,3,0,431.58569000000006,3.048,0.783,0.516,0.35,0.5,1.666,1.199,0.05,0.0
5,0.317,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.317,0.0,0.0,0.0,0.683,0.0,0.0,0.0,0.0,0.067,0.633,0.0,12,0,436.71410999999995,3,0,434.57568,2.184,0.0,0.167,0.317,0.683,1.167,0.067,0.633,0.0
6,0.233,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.3,0.017,0.0,0.0,1.633,0.217,0.0,0.0,0.0,0.133,0.35,0.183,12,0,439.8999,3,0,436.71410999999995,3.249,0.0,0.183,0.317,1.85,2.116,0.367,0.35,0.183
7,0.083,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.367,0.367,0.0,0.0,0.05,0.283,0.0,0.0,0.05,0.383,0.0,0.0,12,0,441.52759000000003,3,0,439.8999,1.666,0.0,0.083,0.734,0.333,0.467,1.116,0.0,0.0
8,0.033,0.0,0.0,0.0,0.0,0.0,0.017,0.217,0.0,0.133,0.933,0.983,0.0,0.0,0.017,0.033,0.0,0.0,0.033,0.466,0.0,12,0,444.33594000000005,3,0,441.52759000000003,2.865,0.0,0.234,2.049,0.05,0.133,1.0,1.699,0.0
9,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.4,0.0,0.0,0.067,0.217,0.0,0.0,0.133,0.1,0.25,12,0,445.61865,3,0,444.33594000000005,1.317,0.0,0.0,0.467,0.284,0.0,0.267,0.717,0.25
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.616,0.0,0.117,0.317,0.017,0.0,12,0,446.81665,3,0,445.61865,1.234,0.0,0.0,0.167,0.616,0.117,0.317,0.8,0.0
11,0.1,0.017,0.033,0.017,0.0,0.033,0.7,0.15,0.0,0.083,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.15,0.3,0.0,12,0,448.70459000000005,3,0,446.81665,1.933,0.067,0.883,0.333,0.05,0.183,1.183,0.467,0.0
12,0.083,0.0,0.267,1.1,0.0,0.0,0.0,0.317,0.0,0.0,0.033,1.016,0.083,0.0,0.017,0.0,0.0,0.167,0.45,0.0,0.0,12,0,452.17456,3,0,448.70459000000005,3.533,1.367,0.317,1.132,0.017,0.167,0.767,2.433,0.083
13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.283,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.383,12,0,453.89722,3,0,452.17456,1.766,0.0,0.983,0.2,0.0,0.0,0.0,0.85,0.866
0,0.866,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.516,1.133,0.533,0.0,0.2,0.35,0.133,0.0,0.0,0.067,0.0,0.0,1,1,21.8501,4,0,18.08813,3.831,0.0,0.033,2.182,0.683,0.749,1.55,0.666,0.0
0,0.966,0.0,0.15,0.283,0.0,0.333,0.183,0.866,0.05,0.0,0.383,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.0,2,1,33.975590000000004,4,0,30.3623,3.681,0.433,1.432,0.533,0.0,0.333,1.033,1.299,0.05
0,0.783,0.516,0.233,0.317,0.033,0.317,0.083,0.0,0.0,0.017,0.283,0.133,0.0,0.0,0.033,0.0,0.0,0.0,0.317,0.0,0.0,3,1,43.79932,4,0,40.792970000000004,3.065,1.099,0.4,0.433,0.033,0.85,0.949,0.45,0.033
0,1.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.85,0.0,0.05,0.45,0.433,0.0,0.0,0.466,0.0,0.0,4,1,53.44286999999999,4,0,49.81299,3.699,0.0,0.0,1.167,0.933,0.05,1.233,1.283,0.0
0,0.3,0.267,0.2,0.317,0.283,0.033,0.283,0.033,0.0,0.033,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.733,0.133,0.0,5,1,69.41187,4,0,66.78345,2.682,1.067,0.349,0.033,0.067,0.333,1.283,0.483,0.283
1,0.683,0.133,0.017,0.0,0.0,0.966,0.417,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.25,0.0,0.0,5,0,71.85986,4,0,69.41187,2.5,0.15,1.383,0.017,0.017,1.099,0.718,0.0,0.0
2,0.566,0.0,0.017,0.0,0.0,0.033,1.016,0.433,0.0,0.017,0.117,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.117,0.0,0.0,5,0,74.32422,4,0,71.85986,2.516,0.017,1.482,0.134,0.2,0.05,1.367,0.533,0.0
3,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383,1.1,0.0,0.0,0.033,0.383,0.067,0.0,0.0,0.267,0.4,0.0,5,0,77.36353000000001,4,0,74.32422,3.099,0.0,0.0,1.483,0.483,0.416,1.75,0.467,0.0
4,1.616,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.017,0.033,0.083,0.0,0.0,0.133,0.117,0.0,0.0,0.0,0.55,0.0,0.0,5,0,80.00879,4,0,77.36353000000001,2.699,0.15,0.017,0.116,0.25,0.166,0.75,0.0,0.167
5,0.716,0.0,0.0,0.0,0.0,0.017,0.0,0.15,0.067,0.083,0.0,0.233,0.0,0.2,0.083,0.417,0.0,0.0,0.0,0.0,0.0,5,0,81.93091,4,0,80.00879,1.966,0.0,0.234,0.316,0.7,0.3,0.083,0.8,0.067
0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.067,0.0,0.0,0.317,0.75,0.1,0.0,0.0,0.533,0.133,0.0,6,1,103.69896999999999,4,0,101.51416,2.233,0.0,0.0,0.25,1.167,0.5,1.35,0.233,0.0
1,0.566,0.0,0.233,0.0,0.0,0.15,0.833,0.05,0.0,0.4,0.217,0.25,0.0,0.033,0.516,0.0,0.0,0.017,0.167,0.0,0.0,6,0,107.06787,4,0,103.69896999999999,3.432,0.233,1.033,0.867,0.549,0.6,1.966,0.3,0.0
2,0.533,0.0,0.0,0.0,0.0,0.35,0.833,0.167,0.0,0.0,0.0,0.05,0.067,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,6,0,109.12061000000001,4,0,107.06787,2.1,0.0,1.35,0.117,0.05,0.35,0.933,0.217,0.067
3,0.55,0.516,0.9,0.483,0.0,0.0,0.616,0.267,0.0,0.033,0.683,0.333,0.0,0.0,0.466,0.017,0.0,0.0,0.05,0.0,0.0,6,0,113.95068,4,0,109.12061000000001,4.914,1.899,0.883,1.049,0.483,0.549,2.715,1.1,0.0
4,0.15,0.017,0.4,0.55,0.117,0.0,0.167,0.333,0.033,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.217,0.0,6,0,116.23461999999999,4,0,113.95068,2.334,1.084,0.533,0.067,0.0,0.017,0.85,1.167,0.15
